Experiment,Run_ID,Date-Hour,Num_Test_Species,Num_Test_Images,Test_Overall_Accuracy,Test_Balanced_Accuracy,Test_mAP,Test_F1,Num_Ind_Location_Species,Num_Ind_Images,Ind_Overall_Accuracy,Ind_Balanced_Accuracy,Ind_mAP,Ind_F1,cat,mouse,possum,rat,stoat,Images_per_sec
Exp_28,Run_02,24_01_13_13,78,32029,0.854,0.834,0.91,0.854,20,3637,0.728,0.692,0.802,0.697,0.802,0.554,0.868,0.738,0.862,20.129
Exp_26,Run_02,24_01_22_11,23,19583,0.899,0.836,0.912,0.85,13,2594,0.769,0.707,0.819,0.719,0.851,0.625,0.867,0.806,0.871,18.875
Exp_26,Run_02,24_01_22_16,23,19583,0.899,0.836,0.912,0.85,13,2594,0.771,0.707,0.823,0.719,0.851,0.622,0.88,0.797,0.865,18.715
Exp_31,Run_01,24_01_26_09,78,63903,0.852,0.804,0.89,0.845,20,3637,0.732,0.692,0.792,0.699,0.813,0.558,0.861,0.768,0.872,19.278
Exp_26,Run_01,24_05_03_16,72,19583,0.848,0.834,0.912,0.85,20,1775,0.743,0.724,0.842,0.728,0.83,0.595,0.837,0.829,0.882,22.643
Exp_26,Run_01,24_05_07_12,72,19583,0.848,0.834,0.912,0.85,20,1775,0.75,0.731,0.837,0.734,0.747,0.589,0.785,0.787,0.87,21.73
Exp_26,Run_01,24_05_07_13,72,19583,0.848,0.834,0.912,0.85,20,3637,0.765,0.726,0.828,0.733,0.849,0.568,0.879,0.784,0.866,22.255
Exp_36,Run_17,24_05_07_14,80,37397,0.827,0.812,0.894,0.831,20,3637,0.735,0.702,0.804,0.704,0.787,0.501,0.888,0.756,0.882,22.954
Exp_36,Run_17,24_05_07_15,80,37397,0.827,0.812,0.894,0.831,20,3637,0.745,0.709,0.81,0.712,0.791,0.526,0.893,0.819,0.874,22.963
Exp_36,Run_17,24_05_08_13,80,37397,0.827,0.812,0.894,0.831,28,6553,0.705,0.668,0.752,0.68,0.796,0.586,0.841,0.704,0.855,23.971
Exp_26,Run_01,24_05_08_14,72,19583,0.848,0.834,0.912,0.85,28,6553,0.678,0.639,0.726,0.654,0.8,0.559,0.837,0.685,0.835,23.987
Exp_38,Run_01,24_05_12_01,79,44675,0.823,0.777,0.862,0.818,28,6553,0.718,0.683,0.763,0.698,0.828,0.646,0.856,0.663,0.858,21.02
